Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,W
2,4.14,162,6115,5459,671,1342,240,19,218,649,42,18,517,1302,0.246,0.316,0.417,0.733,90,138,0.985,29.5,3.81,3.57,162,1,13,55,1447,1397,617,574,152,439,1396,1.269,8.68,0.95,90,138,0.985,28.4,87
1,4.22,162,6145,5527,683,1351,295,17,177,654,51,25,488,1290,0.244,0.312,0.4,0.712,88,131,0.986,28.6,3.78,3.43,162,1,14,50,1462.2,1341,613,557,152,383,1337,1.179,8.23,0.94,88,131,0.986,28.2,90
2,3.88,162,6145,5472,629,1306,275,19,125,602,101,34,516,1264,0.239,0.308,0.364,0.673,104,158,0.983,28.4,3.81,3.49,162,1,11,42,1463.2,1370,618,568,141,509,1303,1.284,8.01,0.87,104,158,0.983,28.9,79
3,3.82,162,6207,5559,619,1318,263,32,130,593,114,35,512,1384,0.237,0.306,0.366,0.672,93,127,0.985,28.3,4.22,3.77,162,4,10,40,1476.2,1442,684,618,152,458,1209,1.287,7.37,0.93,93,127,0.985,29.1,74
4,4.01,162,6091,5450,650,1357,286,21,139,625,79,38,503,1250,0.249,0.316,0.386,0.701,101,135,0.983,27.9,4.38,4.09,162,7,13,36,1434,1368,709,651,161,488,1240,1.294,7.78,1.01,101,135,0.983,30.3,74
4,4.43,162,6335,5600,718,1477,309,39,108,676,130,35,571,1085,0.264,0.335,0.391,0.725,116,126,0.981,28,4.58,4.19,162,6,9,43,1448,1482,742,674,147,514,1126,1.378,7,0.91,116,126,0.981,30,77
4,4.05,162,6144,5465,656,1361,266,40,128,625,130,44,502,1095,0.249,0.314,0.383,0.697,87,159,0.986,28.4,4.02,3.7,162,8,19,36,1453,1438,652,597,135,545,1106,1.365,6.85,0.84,87,159,0.986,29.5,79
4,4.14,162,6159,5453,671,1472,295,49,95,631,122,44,526,928,0.27,0.335,0.394,0.729,97,134,0.984,29.5,4.67,4.45,162,3,12,39,1426,1452,757,705,158,616,1031,1.45,6.51,1,97,134,0.984,29.2,70
2,4.93,162,6388,5606,799,1491,274,38,172,751,138,36,619,1024,0.266,0.34,0.42,0.761,83,126,0.986,30.1,4.41,4.07,162,5,12,43,1464.1,1415,715,662,163,590,1181,1.369,7.26,1,83,126,0.986,29,89
2,4.96,162,6344,5605,804,1543,294,27,177,761,200,46,549,981,0.275,0.342,0.432,0.775,101,124,0.983,30.7,4.63,4.26,162,2,10,39,1452.1,1415,750,687,165,570,1134,1.367,7.03,1.02,101,124,0.983,31.3,88
1,5.15,162,6291,5558,834,1469,323,41,200,800,146,35,547,1071,0.264,0.334,0.445,0.78,104,131,0.983,30.2,4.51,4.14,162,5,12,43,1461.1,1402,731,673,180,527,1161,1.32,7.15,1.11,104,131,0.983,32.2,97
3,4.46,162,6146,5505,722,1421,279,32,175,683,153,40,486,1075,0.258,0.322,0.416,0.738,106,146,0.983,28.8,4,3.76,162,8,11,38,1435.2,1390,648,599,135,491,1012,1.31,6.34,0.85,106,146,0.983,31.9,83
4,4.22,162,6209,5532,684,1376,289,20,185,658,107,23,512,1159,0.249,0.317,0.409,0.726,137,144,0.978,29.8,4.51,4.09,162,2,6,31,1449,1452,731,658,156,592,977,1.411,6.07,0.97,137,144,0.978,32.5,71
5,3.99,161,6007,5341,642,1317,262,24,124,607,70,31,489,1035,0.247,0.314,0.374,0.688,118,158,0.98,29.3,4.68,4.48,161,3,10,38,1413.1,1497,754,704,168,576,907,1.467,5.78,1.07,118,158,0.98,31.6,66
5,4.29,161,6150,5496,690,1409,238,22,160,650,87,42,486,1044,0.256,0.322,0.395,0.717,144,138,0.976,30.6,4.37,3.89,161,9,10,36,1442.2,1408,703,624,163,543,1107,1.352,6.91,1.02,144,138,0.976,30.3,75
3,3.96,162,6156,5459,642,1361,273,18,147,608,66,48,545,1062,0.249,0.323,0.387,0.71,101,132,0.983,30.4,4.4,4.07,162,6,14,48,1445.2,1418,713,654,186,438,1191,1.284,7.41,1.16,101,132,0.983,31.1,82
