Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,W
3,4.47,162,6204,5545,724,1367,291,29,198,689,102,44,554,1452,0.247,0.319,0.417,0.735,77,135,0.987,26.4,4.33,4.06,162,2,8,44,1468,1441,701,663,181,453,1396,1.29,8.56,1.11,77,135,0.987,28.9,84
2,4.5,162,6073,5459,729,1363,278,26,230,691,121,48,486,1392,0.25,0.315,0.437,0.752,85,131,0.986,26.3,3.81,3.57,162,5,13,39,1441,1308,618,572,148,423,1280,1.201,7.99,0.92,85,131,0.986,29.4,86
4,3.88,162,6055,5447,629,1317,240,19,163,596,122,37,495,1442,0.242,0.309,0.383,0.692,106,151,0.983,25.4,4.46,4.11,162,7,3,31,1438.2,1437,723,657,139,484,1137,1.335,7.11,0.87,106,151,0.983,27.9,70
5,3.77,162,6020,5457,610,1307,266,16,148,566,110,61,426,1535,0.24,0.299,0.375,0.674,125,168,0.979,25.9,5.23,4.79,162,2,5,32,1440,1530,848,766,191,616,1084,1.49,6.78,1.19,125,168,0.979,27.2,51
6,3.6,162,6014,5407,583,1276,238,28,146,545,105,46,463,1365,0.236,0.302,0.371,0.673,118,132,0.981,26.6,4.9,4.56,162,3,11,31,1423.1,1493,794,721,173,540,1170,1.428,7.4,1.09,118,132,0.981,27.2,55
6,3.8,162,6150,5598,615,1442,309,28,95,579,118,33,401,1164,0.258,0.311,0.374,0.684,116,140,0.981,28.2,4.91,4.51,162,2,6,25,1435,1477,796,719,188,560,1191,1.42,7.47,1.18,116,140,0.981,27.2,56
4,3.77,162,6005,5452,611,1348,252,25,108,577,100,36,415,1025,0.247,0.303,0.362,0.665,103,135,0.983,29.5,4.5,4.09,162,4,11,45,1439.1,1446,729,654,140,548,1210,1.385,7.57,0.88,103,135,0.983,29.6,76
5,3.97,162,6040,5436,643,1415,270,32,142,616,113,44,448,990,0.26,0.319,0.4,0.719,78,161,0.987,31.6,4.75,4.54,162,5,10,39,1430,1521,770,722,176,546,1144,1.445,7.2,1.11,78,161,0.987,31.2,74
3,4.42,161,6051,5451,712,1432,284,22,167,684,114,52,449,1051,0.263,0.323,0.415,0.737,67,142,0.989,31.1,4.61,4.36,161,4,13,48,1425.1,1453,743,691,197,492,1095,1.365,6.91,1.24,67,142,0.989,30.9,86
4,4.46,162,6324,5605,723,1457,293,30,167,700,65,33,547,1043,0.26,0.33,0.412,0.742,103,128,0.983,31.4,5.02,4.68,162,2,6,38,1464.2,1566,813,761,206,510,1109,1.417,6.81,1.27,103,128,0.983,30.2,73
2,4.54,162,6326,5521,735,1407,275,27,174,708,79,36,585,1076,0.255,0.332,0.409,0.741,80,164,0.987,30.5,4.44,4.08,162,5,12,42,1468.2,1425,719,666,182,480,1160,1.297,7.11,1.12,80,164,0.987,29.8,82
2,4.25,163,6139,5462,693,1400,281,32,161,654,115,44,481,1037,0.256,0.322,0.408,0.73,89,146,0.985,30.3,3.74,3.51,163,6,11,45,1443,1336,609,563,155,440,1164,1.231,7.26,0.97,89,146,0.985,30.3,89
2,4.96,162,6269,5468,803,1458,294,36,187,756,89,30,590,999,0.267,0.342,0.436,0.778,101,136,0.983,31.7,4.31,4.05,162,2,13,47,1443,1416,698,650,174,525,1282,1.345,8,1.09,101,136,0.983,29.6,92
2,4.97,162,6320,5583,805,1466,308,30,191,763,66,30,557,1021,0.263,0.336,0.431,0.767,95,149,0.985,31.1,4.18,3.86,162,1,5,50,1450,1350,677,622,161,565,1139,1.321,7.07,1,95,149,0.985,27.6,87
2,4.62,162,6252,5503,749,1441,291,32,167,719,71,27,589,1120,0.262,0.338,0.417,0.755,83,149,0.986,30.1,4.29,4,162,2,11,43,1445,1423,695,642,151,546,1219,1.363,7.59,0.94,83,149,0.986,27.3,84
1,5.23,162,6325,5528,847,1500,313,29,208,805,64,49,581,1119,0.271,0.347,0.451,0.798,110,138,0.982,30.3,4.75,4.37,162,7,6,48,1454.2,1453,769,707,221,486,1228,1.333,7.6,1.37,110,138,0.982,28.4,93
2,4.3,162,6010,5355,697,1209,233,11,199,673,64,24,535,1492,0.226,0.303,0.385,0.688,79,135,0.986,27,4.62,4.3,162,1,10,51,1440.1,1356,748,688,197,485,1328,1.278,8.3,1.23,79,135,0.986,28,90
5,4.68,162,6199,5500,758,1305,254,28,239,730,115,47,588,1581,0.237,0.316,0.424,0.74,132,145,0.978,27.8,5.51,4.99,162,3,4,34,1439.1,1484,893,798,260,505,1239,1.382,7.75,1.63,132,145,0.978,28.6,68
3,4.18,162,6087,5513,677,1402,256,32,176,644,79,37,430,1221,0.254,0.314,0.408,0.722,88,152,0.985,29.8,4.39,4.13,162,3,12,60,1448.2,1396,711,664,195,400,1328,1.24,8.25,1.21,88,152,0.985,29,89
3,4.63,162,6166,5551,750,1436,281,17,200,714,89,35,487,1267,0.259,0.325,0.424,0.749,103,147,0.982,29.6,4.77,4.46,162,1,9,39,1440.1,1399,772,713,237,490,1244,1.312,7.77,1.48,103,147,0.982,27.8,78
2,4.74,162,6227,5583,768,1446,251,17,223,735,56,28,506,1288,0.259,0.326,0.43,0.756,89,158,0.985,30.5,4.36,4,162,2,8,49,1457,1410,707,647,213,460,1318,1.283,8.14,1.32,89,158,0.985,28.8,86
4,4.05,162,6131,5544,656,1379,262,22,198,624,69,45,478,1336,0.249,0.311,0.411,0.722,94,155,0.985,28.6,4.48,4.16,162,6,12,45,1463,1430,726,677,181,491,1283,1.313,7.89,1.11,94,155,0.985,28.6,76
3,3.91,162,5977,5450,634,1328,247,32,136,600,96,42,396,1232,0.244,0.3,0.376,0.676,82,139,0.986,27.5,3.42,3.17,162,2,9,51,1452,1240,554,512,137,463,1317,1.173,8.16,0.85,82,139,0.986,29,87
